freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.789e+01,4.512e+02,2.656e+02,7.347e+02
1.5,2.913e+01,2.600e+02,1.592e+02,4.484e+02
3.1,2.547e+01,2.340e+01,1.551e+01,6.438e+01
4.6,2.957e+01,3.521e+02,1.875e+01,4.004e+02
6.1,3.950e+01,1.180e+03,2.052e+01,1.240e+03
7.6,3.131e+01,1.727e+03,1.778e+01,1.776e+03
9.2,2.859e+01,2.637e+03,1.763e+01,2.683e+03
10.7,2.969e+01,3.751e+03,1.780e+01,3.799e+03
12.2,2.969e+01,5.285e+03,1.758e+01,5.332e+03
13.7,2.851e+01,7.276e+03,1.829e+01,7.323e+03
15.3,3.142e+01,9.302e+03,2.383e+01,9.358e+03
16.8,2.795e+01,1.157e+04,2.826e+01,1.163e+04
18.3,2.797e+01,1.624e+04,3.522e+01,1.631e+04
19.9,3.067e+01,2.202e+04,5.182e+01,2.210e+04
21.4,3.116e+01,2.720e+04,8.240e+01,2.731e+04
22.9,3.045e+01,3.429e+04,1.386e+02,3.446e+04
24.4,4.580e+01,4.385e+04,2.599e+02,4.415e+04
26.0,4.940e+01,5.677e+04,5.199e+02,5.734e+04
27.5,5.262e+01,7.499e+04,1.080e+03,7.612e+04
29.0,6.550e+01,1.026e+05,2.207e+03,1.049e+05
30.5,1.274e+02,1.466e+05,4.465e+03,1.512e+05
32.1,5.416e+02,2.216e+05,9.516e+03,2.317e+05
33.6,1.697e+03,3.210e+05,1.965e+04,3.423e+05
35.1,2.031e+03,3.891e+05,3.221e+04,4.234e+05
36.7,1.425e+03,5.433e+05,6.863e+04,6.133e+05
38.2,2.048e+03,7.297e+05,1.252e+05,8.570e+05
39.7,3.336e+03,1.058e+06,2.275e+05,1.289e+06
41.2,6.444e+03,1.470e+06,3.847e+05,1.861e+06
42.8,9.405e+03,1.315e+06,4.428e+05,1.767e+06
44.3,7.951e+03,6.106e+05,3.113e+05,9.299e+05
45.8,8.214e+03,2.141e+05,2.033e+05,4.256e+05
47.3,8.306e+03,1.122e+05,1.921e+05,3.126e+05
48.9,8.753e+03,7.169e+04,2.340e+05,3.144e+05
50.4,1.064e+04,5.757e+04,3.603e+05,4.285e+05
51.9,1.168e+04,5.574e+04,5.311e+05,5.986e+05
53.5,1.574e+04,5.660e+04,7.716e+05,8.440e+05
55.0,4.242e+04,6.479e+04,1.087e+06,1.195e+06
56.5,7.341e+04,8.505e+04,9.873e+05,1.146e+06
58.0,7.956e+04,1.028e+05,6.359e+05,8.183e+05
59.6,6.089e+04,9.944e+04,4.526e+05,6.130e+05
61.1,4.090e+04,8.812e+04,3.744e+05,5.034e+05
62.6,2.343e+04,7.682e+04,3.056e+05,4.059e+05
64.1,1.329e+04,6.513e+04,2.401e+05,3.186e+05
65.7,1.049e+04,5.632e+04,1.921e+05,2.589e+05
67.2,9.835e+03,5.291e+04,1.569e+05,2.196e+05
68.7,9.971e+03,5.538e+04,1.406e+05,2.060e+05
70.2,9.405e+03,6.104e+04,1.337e+05,2.041e+05
71.8,8.418e+03,6.626e+04,1.302e+05,2.049e+05
73.3,7.098e+03,6.879e+04,1.283e+05,2.042e+05
74.8,5.884e+03,6.711e+04,1.226e+05,1.956e+05
76.4,4.940e+03,6.118e+04,1.118e+05,1.779e+05
77.9,4.184e+03,5.318e+04,9.927e+04,1.566e+05
79.4,3.872e+03,4.573e+04,8.667e+04,1.363e+05
80.9,3.488e+03,3.864e+04,7.129e+04,1.134e+05
82.5,2.673e+03,3.268e+04,5.654e+04,9.189e+04
84.0,1.759e+03,2.774e+04,4.279e+04,7.229e+04
85.5,1.200e+03,2.466e+04,3.312e+04,5.898e+04
87.0,9.346e+02,2.358e+04,2.743e+04,5.195e+04
88.6,7.719e+02,2.321e+04,2.171e+04,4.569e+04
90.1,5.671e+02,2.145e+04,1.669e+04,3.871e+04
91.6,4.132e+02,1.953e+04,1.303e+04,3.297e+04
93.2,3.219e+02,1.745e+04,9.504e+03,2.728e+04
94.7,3.644e+02,1.554e+04,6.694e+03,2.260e+04
96.2,5.665e+02,1.402e+04,4.308e+03,1.889e+04
97.7,8.127e+02,1.303e+04,2.432e+03,1.627e+04
99.3,9.741e+02,1.258e+04,1.428e+03,1.498e+04
100.8,9.403e+02,1.364e+04,1.309e+03,1.589e+04
102.3,1.462e+03,1.743e+04,2.173e+03,2.107e+04
103.8,3.358e+03,2.513e+04,4.272e+03,3.276e+04
105.4,5.550e+03,3.604e+04,6.995e+03,4.858e+04
106.9,7.011e+03,4.479e+04,8.563e+03,6.037e+04
108.4,7.396e+03,4.660e+04,8.777e+03,6.277e+04
110.0,7.754e+03,5.102e+04,9.195e+03,6.797e+04
111.5,8.686e+03,6.113e+04,9.054e+03,7.887e+04
113.0,9.428e+03,7.577e+04,7.868e+03,9.306e+04
114.5,9.074e+03,9.304e+04,5.988e+03,1.081e+05
116.1,8.841e+03,1.010e+05,5.090e+03,1.150e+05
117.6,8.997e+03,8.949e+04,6.328e+03,1.048e+05
119.1,8.773e+03,6.931e+04,8.361e+03,8.644e+04
120.6,7.860e+03,5.095e+04,9.693e+03,6.850e+04
122.2,6.794e+03,3.867e+04,1.041e+04,5.587e+04
123.7,5.806e+03,3.150e+04,1.140e+04,4.871e+04
125.2,4.663e+03,2.675e+04,1.306e+04,4.447e+04
126.8,3.455e+03,2.330e+04,1.536e+04,4.211e+04
128.3,3.014e+03,2.020e+04,1.714e+04,4.036e+04
129.8,3.489e+03,1.772e+04,1.730e+04,3.851e+04
131.3,3.769e+03,1.576e+04,1.580e+04,3.533e+04
132.9,2.098e+03,8.600e+03,8.113e+03,1.881e+04
134.4,5.369e+02,1.829e+03,9.938e+02,3.360e+03
135.9,3.945e+02,9.842e+02,4.423e+02,1.821e+03
137.4,4.412e+02,7.941e+02,4.415e+02,1.677e+03
139.0,5.027e+02,7.467e+02,4.371e+02,1.686e+03
140.5,5.478e+02,6.985e+02,4.332e+02,1.679e+03
142.0,5.467e+02,7.104e+02,4.661e+02,1.723e+03
143.6,5.221e+02,7.748e+02,5.313e+02,1.828e+03
145.1,5.394e+02,8.447e+02,5.803e+02,1.964e+03
146.6,5.737e+02,8.760e+02,5.947e+02,2.044e+03
148.1,6.388e+02,8.491e+02,6.681e+02,2.156e+03
149.7,7.431e+02,7.753e+02,7.567e+02,2.275e+03
151.2,7.955e+02,6.886e+02,8.422e+02,2.326e+03
152.7,7.781e+02,7.061e+02,9.017e+02,2.386e+03
154.2,7.790e+02,1.000e+03,1.124e+03,2.903e+03
155.8,8.171e+02,1.433e+03,1.580e+03,3.830e+03
157.3,9.710e+02,1.474e+03,1.913e+03,4.358e+03
158.8,1.486e+03,1.028e+03,2.004e+03,4.518e+03
160.4,2.275e+03,8.085e+02,2.483e+03,5.566e+03
161.9,3.196e+03,6.868e+02,2.904e+03,6.787e+03
163.4,4.006e+03,5.622e+02,2.754e+03,7.323e+03
164.9,4.025e+03,5.824e+02,2.333e+03,6.940e+03
166.5,3.516e+03,6.188e+02,2.038e+03,6.173e+03
168.0,2.750e+03,5.331e+02,1.955e+03,5.238e+03
169.5,2.085e+03,3.646e+02,2.053e+03,4.503e+03
171.0,1.588e+03,2.578e+02,1.587e+03,3.433e+03
172.6,1.058e+03,2.221e+02,9.184e+02,2.198e+03
174.1,8.444e+02,2.738e+02,4.901e+02,1.608e+03
175.6,7.605e+02,4.599e+02,3.451e+02,1.565e+03
177.1,7.857e+02,6.649e+02,3.209e+02,1.771e+03
178.7,7.542e+02,7.469e+02,3.147e+02,1.816e+03
180.2,6.229e+02,8.100e+02,3.277e+02,1.760e+03
181.7,5.360e+02,8.480e+02,3.382e+02,1.722e+03
183.3,4.589e+02,7.998e+02,3.120e+02,1.571e+03
184.8,4.004e+02,7.513e+02,2.915e+02,1.443e+03
186.3,3.605e+02,7.211e+02,2.817e+02,1.363e+03
187.8,3.313e+02,6.730e+02,2.837e+02,1.288e+03
189.4,2.795e+02,5.661e+02,2.955e+02,1.141e+03
190.9,2.659e+02,4.742e+02,3.230e+02,1.063e+03
192.4,2.545e+02,4.206e+02,3.222e+02,9.973e+02
193.9,2.492e+02,3.935e+02,2.989e+02,9.415e+02
195.5,2.679e+02,3.810e+02,2.984e+02,9.473e+02
197.0,2.785e+02,3.811e+02,2.857e+02,9.453e+02
