freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.582e+02,3.476e+01,6.962e+01,8.625e+02
1.5,4.489e+02,3.519e+01,6.426e+01,5.484e+02
3.1,4.173e+01,2.084e+01,2.926e+01,9.183e+01
4.6,3.285e+02,2.524e+01,3.371e+01,3.874e+02
6.1,1.073e+03,3.124e+01,3.782e+01,1.142e+03
7.6,1.751e+03,2.681e+01,3.869e+01,1.816e+03
9.2,2.598e+03,2.598e+01,3.726e+01,2.661e+03
10.7,3.618e+03,2.262e+01,3.821e+01,3.679e+03
12.2,4.836e+03,2.233e+01,3.907e+01,4.897e+03
13.7,6.274e+03,2.026e+01,4.018e+01,6.334e+03
15.3,7.962e+03,2.108e+01,4.338e+01,8.027e+03
16.8,1.025e+04,2.303e+01,4.868e+01,1.032e+04
18.3,1.299e+04,2.603e+01,5.287e+01,1.307e+04
19.9,1.613e+04,3.062e+01,7.392e+01,1.624e+04
21.4,1.954e+04,3.587e+01,8.696e+01,1.966e+04
22.9,2.397e+04,4.297e+01,1.072e+02,2.412e+04
24.4,2.961e+04,6.538e+01,1.454e+02,2.982e+04
26.0,3.610e+04,9.507e+01,1.912e+02,3.639e+04
27.5,4.405e+04,1.434e+02,2.343e+02,4.443e+04
29.0,5.530e+04,2.198e+02,3.278e+02,5.585e+04
30.5,6.939e+04,3.784e+02,5.071e+02,7.027e+04
32.1,7.650e+04,7.437e+02,4.647e+02,7.771e+04
33.6,8.330e+04,1.345e+03,2.586e+02,8.490e+04
35.1,1.083e+05,1.937e+03,5.357e+02,1.107e+05
36.7,1.393e+05,2.610e+03,9.573e+02,1.429e+05
38.2,1.683e+05,4.284e+03,1.221e+03,1.738e+05
39.7,2.071e+05,5.837e+03,1.830e+03,2.147e+05
41.2,2.586e+05,8.249e+03,1.828e+03,2.686e+05
42.8,3.230e+05,1.692e+04,1.445e+03,3.414e+05
44.3,4.073e+05,4.163e+04,9.082e+03,4.580e+05
45.8,4.961e+05,7.056e+04,5.427e+04,6.209e+05
47.3,6.252e+05,6.458e+04,1.057e+05,7.955e+05
48.9,8.762e+05,3.765e+04,1.183e+05,1.032e+06
50.4,1.252e+06,1.381e+04,1.189e+05,1.384e+06
51.9,1.757e+06,3.774e+03,1.190e+05,1.879e+06
53.5,2.422e+06,6.058e+03,1.339e+05,2.562e+06
55.0,2.900e+06,1.021e+04,1.525e+05,3.063e+06
56.5,3.030e+06,1.984e+04,1.569e+05,3.207e+06
58.0,2.826e+06,2.726e+04,1.549e+05,3.008e+06
59.6,2.259e+06,2.678e+04,1.448e+05,2.430e+06
61.1,1.594e+06,2.212e+04,1.273e+05,1.744e+06
62.6,9.886e+05,1.695e+04,1.027e+05,1.108e+06
64.1,5.836e+05,1.411e+04,8.012e+04,6.778e+05
65.7,3.804e+05,1.397e+04,6.570e+04,4.600e+05
67.2,2.843e+05,1.587e+04,5.853e+04,3.587e+05
68.7,2.390e+05,1.891e+04,5.626e+04,3.141e+05
70.3,2.113e+05,2.128e+04,5.357e+04,2.862e+05
71.8,1.954e+05,2.261e+04,4.908e+04,2.671e+05
73.3,1.867e+05,2.250e+04,4.416e+04,2.534e+05
74.8,1.803e+05,2.297e+04,4.107e+04,2.444e+05
76.4,1.729e+05,2.402e+04,3.874e+04,2.357e+05
77.9,1.699e+05,2.452e+04,3.538e+04,2.299e+05
79.4,1.611e+05,2.443e+04,3.055e+04,2.161e+05
80.9,1.527e+05,2.404e+04,2.481e+04,2.015e+05
