freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.913e+01,4.993e+02,2.974e+02,8.158e+02
1.5,3.083e+01,2.935e+02,1.815e+02,5.058e+02
3.1,2.914e+01,2.512e+01,1.591e+01,7.017e+01
4.6,3.206e+01,3.554e+02,1.758e+01,4.050e+02
6.1,4.765e+01,1.168e+03,2.073e+01,1.236e+03
7.6,3.174e+01,1.703e+03,1.959e+01,1.755e+03
9.2,2.853e+01,2.570e+03,2.125e+01,2.619e+03
10.7,2.592e+01,3.653e+03,2.013e+01,3.699e+03
12.2,2.725e+01,5.175e+03,2.010e+01,5.222e+03
13.7,3.001e+01,7.218e+03,2.061e+01,7.269e+03
15.3,3.433e+01,9.423e+03,2.325e+01,9.480e+03
16.8,2.867e+01,1.177e+04,2.478e+01,1.183e+04
18.3,2.609e+01,1.623e+04,3.094e+01,1.629e+04
19.9,2.858e+01,2.142e+04,4.701e+01,2.150e+04
21.4,2.992e+01,2.662e+04,7.862e+01,2.673e+04
22.9,3.258e+01,3.377e+04,1.439e+02,3.394e+04
24.4,4.550e+01,4.345e+04,2.602e+02,4.375e+04
26.0,5.274e+01,5.650e+04,5.007e+02,5.705e+04
27.5,5.299e+01,7.472e+04,1.017e+03,7.579e+04
29.0,7.549e+01,1.015e+05,2.114e+03,1.037e+05
30.5,1.408e+02,1.447e+05,4.290e+03,1.491e+05
32.1,5.187e+02,2.178e+05,9.088e+03,2.274e+05
33.6,1.590e+03,3.107e+05,1.844e+04,3.308e+05
35.1,2.002e+03,3.764e+05,2.959e+04,4.080e+05
36.7,1.509e+03,5.221e+05,6.212e+04,5.857e+05
38.2,2.127e+03,7.047e+05,1.150e+05,8.218e+05
39.7,3.638e+03,1.067e+06,2.174e+05,1.288e+06
41.2,8.258e+03,1.602e+06,3.916e+05,2.001e+06
42.8,1.309e+04,1.602e+06,4.990e+05,2.114e+06
44.3,1.109e+04,8.558e+05,3.936e+05,1.261e+06
45.8,1.146e+04,3.072e+05,2.605e+05,5.791e+05
47.3,1.280e+04,1.609e+05,2.570e+05,4.307e+05
48.9,1.375e+04,1.118e+05,3.276e+05,4.532e+05
50.4,1.495e+04,9.227e+04,4.829e+05,5.901e+05
51.9,1.628e+04,7.775e+04,6.251e+05,7.191e+05
53.5,2.245e+04,6.721e+04,8.279e+05,9.176e+05
55.0,4.845e+04,6.882e+04,1.210e+06,1.327e+06
56.5,7.095e+04,8.302e+04,1.136e+06,1.290e+06
58.0,8.115e+04,1.022e+05,7.071e+05,8.905e+05
59.6,7.088e+04,1.013e+05,4.836e+05,6.558e+05
61.1,4.951e+04,9.102e+04,3.948e+05,5.353e+05
62.6,2.778e+04,8.084e+04,3.223e+05,4.309e+05
64.1,1.598e+04,6.870e+04,2.493e+05,3.340e+05
65.7,1.309e+04,5.868e+04,2.025e+05,2.742e+05
