freq,psd_x,psd_y,psd_z,psd_xyz
67.2,1.237e+04,5.183e+04,1.667e+05,2.309e+05
68.7,1.191e+04,4.883e+04,1.406e+05,2.013e+05
70.3,1.094e+04,4.827e+04,1.238e+05,1.830e+05
71.8,9.801e+03,4.960e+04,1.149e+05,1.743e+05
73.3,8.953e+03,5.166e+04,1.122e+05,1.728e+05
74.8,7.922e+03,5.097e+04,1.095e+05,1.684e+05
76.4,6.952e+03,4.849e+04,1.056e+05,1.610e+05
77.9,6.329e+03,4.778e+04,1.030e+05,1.571e+05
79.4,5.732e+03,4.642e+04,9.616e+04,1.483e+05
80.9,4.974e+03,4.030e+04,7.868e+04,1.240e+05
82.5,3.977e+03,3.343e+04,5.908e+04,9.649e+04
84.0,2.933e+03,2.889e+04,4.363e+04,7.545e+04
85.5,2.102e+03,2.613e+04,3.295e+04,6.118e+04
87.1,1.623e+03,2.494e+04,2.653e+04,5.309e+04
88.6,1.408e+03,2.424e+04,2.241e+04,4.806e+04
90.1,1.135e+03,2.360e+04,1.770e+04,4.243e+04
91.6,8.139e+02,2.206e+04,1.316e+04,3.604e+04
93.2,5.444e+02,2.037e+04,9.329e+03,3.025e+04
94.7,3.985e+02,1.798e+04,6.297e+03,2.468e+04
96.2,4.344e+02,1.534e+04,3.633e+03,1.940e+04
97.7,7.585e+02,1.357e+04,1.856e+03,1.618e+04
99.3,1.274e+03,1.269e+04,1.068e+03,1.503e+04
100.8,1.489e+03,1.274e+04,1.159e+03,1.538e+04
102.3,2.177e+03,1.489e+04,2.403e+03,1.947e+04
103.9,4.399e+03,2.195e+04,5.511e+03,3.186e+04
105.4,7.924e+03,3.501e+04,9.263e+03,5.220e+04
106.9,8.747e+03,4.010e+04,1.033e+04,5.918e+04
108.4,8.234e+03,3.865e+04,1.112e+04,5.800e+04
110.0,9.428e+03,4.012e+04,1.242e+04,6.197e+04
111.5,1.107e+04,4.464e+04,1.315e+04,6.886e+04
113.0,1.198e+04,5.156e+04,1.277e+04,7.630e+04
114.5,1.213e+04,5.897e+04,1.089e+04,8.199e+04
116.1,1.164e+04,6.408e+04,8.591e+03,8.431e+04
117.6,1.181e+04,6.197e+04,7.636e+03,8.142e+04
119.1,1.115e+04,5.141e+04,7.848e+03,7.041e+04
120.7,9.871e+03,4.035e+04,8.297e+03,5.852e+04
122.2,8.673e+03,3.292e+04,8.414e+03,5.000e+04
123.7,7.598e+03,2.809e+04,8.709e+03,4.440e+04
125.2,6.125e+03,2.437e+04,1.041e+04,4.090e+04
126.8,4.207e+03,2.187e+04,1.359e+04,3.967e+04
128.3,3.104e+03,1.980e+04,1.656e+04,3.947e+04
129.8,3.676e+03,1.829e+04,1.742e+04,3.938e+04
131.3,4.266e+03,1.727e+04,1.596e+04,3.749e+04
132.9,2.921e+03,1.170e+04,9.826e+03,2.445e+04
134.4,7.176e+02,2.885e+03,1.508e+03,5.111e+03
135.9,3.350e+02,1.288e+03,4.480e+02,2.071e+03
137.4,3.161e+02,9.972e+02,4.991e+02,1.812e+03
139.0,3.513e+02,8.131e+02,5.083e+02,1.673e+03
140.5,3.776e+02,6.792e+02,5.217e+02,1.579e+03
142.0,3.767e+02,5.191e+02,5.049e+02,1.401e+03
143.6,3.589e+02,3.613e+02,5.116e+02,1.232e+03
145.1,3.727e+02,3.035e+02,4.902e+02,1.166e+03
146.6,4.183e+02,3.386e+02,4.800e+02,1.237e+03
148.1,5.231e+02,3.999e+02,5.468e+02,1.470e+03
149.7,6.278e+02,5.507e+02,7.400e+02,1.918e+03
151.2,7.311e+02,7.411e+02,1.042e+03,2.514e+03
152.7,8.067e+02,9.468e+02,1.315e+03,3.068e+03
154.2,8.602e+02,1.016e+03,1.444e+03,3.320e+03
155.8,9.548e+02,1.097e+03,1.562e+03,3.613e+03
157.3,1.302e+03,1.081e+03,1.521e+03,3.904e+03
158.8,2.051e+03,7.616e+02,1.396e+03,4.209e+03
160.4,2.860e+03,5.787e+02,1.656e+03,5.095e+03
161.9,3.431e+03,5.025e+02,1.892e+03,5.826e+03
163.4,3.738e+03,6.751e+02,1.819e+03,6.232e+03
164.9,3.382e+03,1.102e+03,1.684e+03,6.168e+03
166.5,2.833e+03,1.306e+03,1.799e+03,5.938e+03
168.0,2.507e+03,1.141e+03,1.616e+03,5.264e+03
169.5,2.046e+03,8.352e+02,1.488e+03,4.370e+03
171.0,1.550e+03,5.602e+02,1.433e+03,3.543e+03
172.6,1.210e+03,3.904e+02,1.135e+03,2.736e+03
174.1,9.842e+02,3.547e+02,8.355e+02,2.174e+03
175.6,1.035e+03,4.032e+02,5.647e+02,2.002e+03
177.2,1.116e+03,5.697e+02,4.504e+02,2.136e+03
178.7,1.107e+03,7.442e+02,4.181e+02,2.269e+03
180.2,1.048e+03,8.304e+02,4.248e+02,2.303e+03
181.7,8.671e+02,9.480e+02,4.614e+02,2.277e+03
183.3,6.893e+02,9.957e+02,4.635e+02,2.149e+03
184.8,5.737e+02,9.191e+02,3.969e+02,1.890e+03
186.3,4.795e+02,9.019e+02,3.429e+02,1.724e+03
187.8,3.915e+02,9.063e+02,3.460e+02,1.644e+03
189.4,3.153e+02,8.947e+02,3.658e+02,1.576e+03
190.9,2.545e+02,8.256e+02,3.678e+02,1.448e+03
192.4,2.531e+02,7.799e+02,3.542e+02,1.387e+03
194.0,2.684e+02,7.322e+02,3.425e+02,1.343e+03
195.5,2.620e+02,6.785e+02,3.610e+02,1.301e+03
197.0,2.738e+02,6.242e+02,4.050e+02,1.303e+03
198.5,2.812e+02,6.358e+02,4.064e+02,1.323e+03
