freq,psd_x,psd_y,psd_z,psd_xyz
168.0,2.859e+03,6.757e+02,2.611e+03,6.145e+03
169.5,2.155e+03,5.873e+02,2.323e+03,5.064e+03
171.1,1.532e+03,5.255e+02,1.692e+03,3.750e+03
172.6,1.223e+03,5.715e+02,1.023e+03,2.818e+03
174.1,1.253e+03,7.529e+02,7.345e+02,2.740e+03
175.7,1.285e+03,1.039e+03,6.972e+02,3.021e+03
177.2,1.130e+03,1.392e+03,7.952e+02,3.318e+03
178.7,8.178e+02,1.742e+03,1.037e+03,3.597e+03
180.2,6.072e+02,1.752e+03,1.104e+03,3.463e+03
181.8,4.690e+02,1.550e+03,9.851e+02,3.004e+03
183.3,3.678e+02,1.305e+03,7.734e+02,2.446e+03
184.8,3.057e+02,1.136e+03,5.822e+02,2.024e+03
186.3,3.015e+02,9.548e+02,4.576e+02,1.714e+03
187.9,3.264e+02,7.511e+02,3.880e+02,1.466e+03
189.4,3.420e+02,6.493e+02,3.508e+02,1.342e+03
190.9,3.414e+02,6.334e+02,3.260e+02,1.301e+03
192.5,3.420e+02,6.491e+02,3.110e+02,1.302e+03
194.0,3.526e+02,6.417e+02,3.129e+02,1.307e+03
195.5,3.767e+02,6.574e+02,3.419e+02,1.376e+03
197.0,3.938e+02,6.833e+02,3.944e+02,1.471e+03
198.6,3.920e+02,7.174e+02,4.202e+02,1.530e+03
