freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.113e+02,3.884e+01,7.478e+01,9.249e+02
1.5,4.654e+02,3.822e+01,7.345e+01,5.771e+02
3.1,3.958e+01,2.344e+01,3.976e+01,1.028e+02
4.6,3.082e+02,2.636e+01,2.905e+01,3.636e+02
6.1,1.093e+03,3.524e+01,3.771e+01,1.166e+03
7.6,1.804e+03,2.950e+01,4.252e+01,1.876e+03
9.2,2.624e+03,2.258e+01,3.864e+01,2.686e+03
10.7,3.630e+03,2.220e+01,4.344e+01,3.696e+03
12.2,4.906e+03,2.287e+01,4.070e+01,4.969e+03
13.7,6.418e+03,2.163e+01,4.083e+01,6.481e+03
15.3,8.182e+03,2.186e+01,4.779e+01,8.252e+03
16.8,1.049e+04,2.530e+01,5.664e+01,1.057e+04
18.3,1.338e+04,2.725e+01,7.020e+01,1.348e+04
19.9,1.666e+04,3.386e+01,9.837e+01,1.679e+04
21.4,2.034e+04,4.576e+01,1.107e+02,2.049e+04
22.9,2.504e+04,5.513e+01,1.338e+02,2.522e+04
24.4,3.109e+04,7.917e+01,1.824e+02,3.135e+04
26.0,3.793e+04,1.143e+02,2.311e+02,3.828e+04
27.5,4.625e+04,1.667e+02,2.675e+02,4.668e+04
29.0,5.866e+04,2.813e+02,3.649e+02,5.930e+04
30.5,7.460e+04,5.331e+02,5.729e+02,7.570e+04
32.1,8.365e+04,1.021e+03,5.827e+02,8.525e+04
33.6,9.410e+04,1.797e+03,4.049e+02,9.630e+04
35.1,1.212e+05,2.415e+03,7.385e+02,1.243e+05
36.7,1.514e+05,3.096e+03,1.168e+03,1.557e+05
38.2,1.821e+05,4.834e+03,1.511e+03,1.885e+05
39.7,2.250e+05,6.720e+03,2.199e+03,2.340e+05
41.2,2.798e+05,9.790e+03,2.022e+03,2.916e+05
42.8,3.487e+05,1.909e+04,1.363e+03,3.691e+05
44.3,4.399e+05,4.789e+04,1.032e+04,4.981e+05
45.8,5.322e+05,8.526e+04,7.085e+04,6.883e+05
47.3,6.903e+05,8.374e+04,1.416e+05,9.156e+05
48.9,1.005e+06,4.985e+04,1.551e+05,1.210e+06
50.4,1.466e+06,1.700e+04,1.493e+05,1.633e+06
51.9,2.071e+06,3.890e+03,1.411e+05,2.216e+06
53.5,2.862e+06,8.455e+03,1.538e+05,3.024e+06
55.0,3.500e+06,1.502e+04,1.770e+05,3.692e+06
56.5,3.587e+06,2.703e+04,1.778e+05,3.792e+06
58.0,2.968e+06,3.159e+04,1.594e+05,3.159e+06
59.6,2.088e+06,2.740e+04,1.352e+05,2.250e+06
61.1,1.402e+06,2.217e+04,1.133e+05,1.537e+06
62.6,8.495e+05,1.705e+04,9.106e+04,9.576e+05
64.1,4.933e+05,1.415e+04,7.296e+04,5.804e+05
65.7,3.362e+05,1.451e+04,6.281e+04,4.135e+05
67.2,2.612e+05,1.667e+04,5.804e+04,3.359e+05
68.7,2.026e+05,1.823e+04,5.386e+04,2.747e+05
70.3,1.704e+05,1.980e+04,5.049e+04,2.407e+05
71.8,1.624e+05,2.174e+04,4.845e+04,2.326e+05
73.3,1.595e+05,2.233e+04,4.570e+04,2.275e+05
74.8,1.573e+05,2.332e+04,4.403e+04,2.247e+05
76.4,1.593e+05,2.544e+04,4.403e+04,2.288e+05
77.9,1.629e+05,2.701e+04,4.188e+04,2.318e+05
79.4,1.631e+05,2.787e+04,3.769e+04,2.287e+05
80.9,1.593e+05,2.745e+04,3.131e+04,2.181e+05
